SYMBOL,SYMBOLS,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
CHEMBOND,CHEMBOND.NS,Chembond Chemicals Ltd,EQ,20-Nov-19,5,1,INE995D01025,5
CHEMCON,CHEMCON.NS,Chemcon Speciality Chemicals Limited,EQ,1-Oct-20,10,1,INE03YM01018,10
CHEMFAB,CHEMFAB.NS,Chemfab Alkalis Limited,EQ,25-Apr-18,10,1,INE783X01023,10
CHEMPLASTS,CHEMPLASTS.NS,Chemplast Sanmar Limited,EQ,24-Aug-21,5,1,INE488A01050,5
CHENNPETRO,CHENNPETRO.NS,Chennai Petroleum Corporation Limited,EQ,7-Jun-00,10,1,INE178A01016,10
CHEVIOT,CHEVIOT.NS,Cheviot Company Limited,EQ,20-Jun-22,10,1,INE974B01016,10
CHOICEIN,CHOICEIN.NS,Choice International Limited,EQ,8-Apr-22,10,1,INE102B01014,10
CHOLAFIN,CHOLAFIN.NS,Cholamandalam Investment and Finance Company Limited,EQ,15-May-96,2,1,INE121A01024,2
CHOLAHLDNG,CHOLAHLDNG.NS,Cholamandalam Financial Holdings Limited,EQ,25-Sep-17,1,1,INE149A01033,1
CIEINDIA,CIEINDIA.NS,CIE Automotive India Limited,EQ,30-Aug-07,10,1,INE536H01010,10
CIGNITITEC,CIGNITITEC.NS,Cigniti Technologies Limited,EQ,13-Oct-14,10,1,INE675C01017,10
CINELINE,CINELINE.NS,Cineline India Limited,EQ,13-Jun-12,5,1,INE704H01022,5
CINEVISTA,CINEVISTA.NS,Cinevista Limited,BE,2-May-00,2,1,INE039B01026,2
CIPLA,CIPLA.NS,Cipla Limited,EQ,8-Feb-95,2,1,INE059A01026,2
CLEAN,CLEAN.NS,Clean Science and Technology Limited,EQ,19-Jul-21,1,1,INE227W01023,1
CLEDUCATE,CLEDUCATE.NS,CL Educate Limited,BE,31-Mar-17,5,1,INE201M01029,5
CLSEL,CLSEL.NS,Chaman Lal Setia Exports Limited,EQ,12-May-21,2,1,INE419D01026,2
CMSINFO,CMSINFO.NS,CMS Info Systems Limited,EQ,31-Dec-21,10,1,INE925R01014,10
COALINDIA,COALINDIA.NS,Coal India Limited,EQ,4-Nov-10,10,1,INE522F01014,10
COASTCORP,COASTCORP.NS,Coastal Corporation Limited,EQ,8-Oct-21,10,1,INE377E01016,10
COCHINSHIP,COCHINSHIP.NS,Cochin Shipyard Limited,EQ,11-Aug-17,5,1,INE704P01025,5
COFFEEDAY,COFFEEDAY.NS,Coffee Day Enterprises Limited,BE,2-Nov-15,10,1,INE335K01011,10
COFORGE,COFORGE.NS,Coforge Limited,EQ,30-Aug-04,10,1,INE591G01017,10
COLPAL,COLPAL.NS,Colgate Palmolive (India) Limited,EQ,17-Dec-07,1,1,INE259A01022,1
COMPUSOFT,COMPUSOFT.NS,Compucom Software Limited,EQ,2-Mar-12,2,1,INE453B01029,2
COMSYN,COMSYN.NS,Commercial Syn Bags Limited,EQ,23-Jan-24,10,1,INE073V01015,10
CONCOR,CONCOR.NS,Container Corporation of India Limited,EQ,7-May-97,5,1,INE111A01025,5
CONCORDBIO,CONCORDBIO.NS,Concord Biotech Limited,EQ,18-Aug-23,1,1,INE338H01029,1
CONFIPET,CONFIPET.NS,Confidence Petroleum India Limited,EQ,13-Jun-19,1,1,INE552D01024,1
CONSOFINVT,CONSOFINVT.NS,Consolidated Finvest & Holdings Limited,EQ,29-Mar-05,10,1,INE025A01027,10
CONTROLPR,CONTROLPR.NS,Control Print Limited,EQ,24-Jun-16,10,1,INE663B01015,10
CORALFINAC,CORALFINAC.NS,Coral India Finance & Housing Limited,BE,25-Mar-96,2,1,INE558D01021,2
CORDSCABLE,CORDSCABLE.NS,Cords Cable Industries Limited,BE,13-Feb-08,10,1,INE792I01017,10
COROMANDEL,COROMANDEL.NS,Coromandel International Limited,EQ,31-May-95,1,1,INE169A01031,1
COSMOFIRST,COSMOFIRST.NS,COSMO FIRST LIMITED,EQ,25-May-95,10,1,INE757A01017,10
COUNCODOS,COUNCODOS.NS,Country Condo's Limited,BE,22-Jan-09,1,1,INE695B01025,1
CRAFTSMAN,CRAFTSMAN.NS,Craftsman Automation Limited,EQ,25-Mar-21,5,1,INE00LO01017,5
